DATE: 2022-02-08 11:47:44 pm|Action: addAppointmentMTLA1212|MTLA121212|PHYSICIAN | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-08 11:47:58 pm|Action: addAppointmentMTLA1212|SHEA121212|SURGEON | Parameters: USER:sheserverMTLA1212/ AppointmentId: SHEA121212/ AppointmentType: SURGEON/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-08 11:47:58 pm|Action: addAppointmentMTLA1212|SHEA121212|SURGEON | Parameters: USER:SHEserverMTLA1212/ AppointmentId: SHEA121212/ AppointmentType: SURGEON/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 11:47:07 am|Action: addAppointmentMTLA1212|MTLA121212|PHYSICIAN | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 11:47:37 am|Action: addAppointmentMTLA1212|QUEA121212|SURGEON | Parameters: USER:MONserverMTLA1212/ AppointmentId: QUEA121212/ AppointmentType: SURGEON/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 11:47:37 am|Action: addAppointmentMTLA1212|QUEA121212|SURGEON | Parameters: USER:QUEserverMTLA1212/ AppointmentId: QUEA121212/ AppointmentType: SURGEON/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 01:07:57 pm|Action: addAppointmentMTLA1212|MTLA121212|PHYSICIAN | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 01:08:19 pm|Action: addAppointmentMTLA1212|QUEA121212|SURGEON | Parameters: USER:MONserverMTLA1212/ AppointmentId: QUEA121212/ AppointmentType: SURGEON/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 01:08:19 pm|Action: addAppointmentMTLA1212|QUEA121212|SURGEON | Parameters: USER:QUEserverMTLA1212/ AppointmentId: QUEA121212/ AppointmentType: SURGEON/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 01:08:24 pm|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-14 04:38:39 pm|Action: getAppointmentSchedule | Parameters: USER:mtlorqueserver[SHEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-14 04:38:39 pm|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE121212PHYSICIAN][QUEE121212PHYSICIAN][SHEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-14 05:30:47 pm|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-14 05:30:47 pm|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-14 05:30:47 pm|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-14 05:30:47 pm|Action: addAppointmentMTLA1212|MTLN121212|PHYSICIAN | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLN121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 3 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-14 05:38:12 pm|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-14 05:38:12 pm|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-14 05:38:12 pm|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLN121212=Appointment{Number of Appoinntment='3}, MTLE140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-14 05:38:35 pm|Action: Appointment BookedMTLN121212 | Parameters: USER: mtlserverMTLA1212/ AppointmentId: MTLN121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-14 05:42:21 pm|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-14 05:42:21 pm|Action: Appointment BookedQUEE121212 | Parameters: USER: QUEserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-14 05:42:21 pm|Action: Appointment BookedQUEE121212 | Parameters: USER:queserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-14 05:43:16 pm|Action: Appointment BookedMTLE140222 | Parameters: USER: mtlserverMTLA1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-14 05:48:37 pm|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-14 05:48:37 pm|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-14 05:48:37 pm|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-14 05:48:59 pm|Action: Appointment BookedMTLE140222 | Parameters: USER: mtlserverMTLA1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-14 05:49:24 pm|Action: Appointment BookedMTLN140222 | Parameters: USER: mtlserverMTLA1212/ AppointmentId: MTLN140222/ AppointmentType: SURGEON | Action Status: Success | Resonse: TRUE
DATE: 2022-02-14 05:57:43 pm|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-14 05:57:43 pm|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-14 05:57:43 pm|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='9}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='9}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-14 05:57:51 pm|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN, MTLN140222SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-14 05:58:29 pm|Action: Appointment CancelledMTLE140222 | Parameters: USER: MONserverMTLA1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-02-14 05:58:36 pm|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLN140222SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-14 06:22:56 pm|Action: Appointment not BookedMTLE121212 | Parameters: USER:mtlserverMTLP1212/ AppointmentId: MTLE121212/ AppointmentType: PHYSICIAN | Action Status: failed | Resonse: false
DATE: 2022-02-14 06:23:11 pm|Action: List of Appointments | Parameters: USER: MONserverMTLP1214 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-14 06:23:11 pm|Action: List of Appointments | Parameters: USER: SHEserverMTLP1214 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-14 06:23:11 pm|Action: List of Appointments | Parameters: USER: AllserverMTLP1214 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='9}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-14 06:23:40 pm|Action: Appointment BookedMTLE140222 | Parameters: USER: mtlserverMTLP1214/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-14 06:23:44 pm|Action: List of Appointments | Parameters: USER: MONserverMTLP1214 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-14 06:23:44 pm|Action: List of Appointments | Parameters: USER: SHEserverMTLP1214 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-14 06:23:44 pm|Action: List of Appointments | Parameters: USER: AllserverMTLP1214 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='9}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='9}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-19 09:47:42 am|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-19 09:47:42 am|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-19 09:47:43 am|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-19 09:47:43 am|Action: addAppointmentMTLA1212|MTLA121212|PHYSICIAN | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-19 10:37:47 am|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-19 10:37:48 am|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-19 10:37:48 am|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-19 10:38:18 am|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-19 10:38:18 am|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-19 10:38:18 am|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-19 10:38:18 am|Action: addAppointmentMTLA1212|MTLE140222|PHYSICIAN | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN/ NumofAppointment: 1 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-19 10:38:24 am|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-19 10:38:24 am|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-19 10:38:24 am|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='1}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-19 10:38:47 am|Action: getAppointmentSchedule | Parameters: USER:allservernull | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:38:47 am|Action: Appointment BookedMTLE140222 | Parameters: USER: mtlserverMTLA1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-19 10:38:51 am|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:39:34 am|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-19 10:39:34 am|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-19 10:39:34 am|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='0}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-19 10:39:59 am|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:39:59 am|Action: Appointment BookedSHEE121212 | Parameters: USER: sheserverMTLA1212/ AppointmentId: SHEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-19 10:39:59 am|Action: Appointment BookedSHEE121212 | Parameters: USER:SHEserverMTLA1212/ AppointmentId: SHEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-19 10:40:05 am|Action: getAppointmentSchedule | Parameters: USER:mtlorqueserver[SHEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:40:05 am|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN][SHEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:42:36 am|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-19 10:42:36 am|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-19 10:42:36 am|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-19 10:43:00 am|Action: getAppointmentSchedule | Parameters: USER:allservernull | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:43:00 am|Action: Appointment BookedMTLE140222 | Parameters: USER: mtlserverMTLA1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-19 10:43:45 am|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:43:48 am|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-19 10:43:48 am|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-19 10:43:48 am|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='9}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-19 10:44:12 am|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:44:12 am|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-19 10:44:12 am|Action: Appointment BookedQUEE121212 | Parameters: USER: QUEserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-19 10:44:12 am|Action: Appointment BookedQUEE121212 | Parameters: USER:queserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-19 10:44:17 am|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:44:17 am|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN][QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:45:55 am|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:45:55 am|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN][QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:45:55 am|Action: Appointment BookedSHEE121212 | Parameters: USER: sheserverMTLA1212/ AppointmentId: SHEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-19 10:45:55 am|Action: Appointment BookedSHEE121212 | Parameters: USER:SHEserverMTLA1212/ AppointmentId: SHEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-19 10:46:02 am|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:46:02 am|Action: getAppointmentSchedule | Parameters: USER:mtlorqueserver[SHEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:46:02 am|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN][QUEE121212PHYSICIAN][SHEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:47:05 am|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:47:05 am|Action: getAppointmentSchedule | Parameters: USER:mtlorqueserver[SHEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:47:05 am|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN][QUEE121212PHYSICIAN][SHEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:47:05 am|Action: Appointment BookedSHEN121212 | Parameters: USER: sheserverMTLA1212/ AppointmentId: SHEN121212/ AppointmentType: SURGEON | Action Status: Success | Resonse: TRUE
DATE: 2022-02-19 10:47:05 am|Action: Appointment BookedSHEN121212 | Parameters: USER:SHEserverMTLA1212/ AppointmentId: SHEN121212/ AppointmentType: SURGEON/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-19 10:47:56 am|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:47:56 am|Action: getAppointmentSchedule | Parameters: USER:mtlorqueserver[SHEE121212PHYSICIAN, SHEN121212SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:47:56 am|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN][QUEE121212PHYSICIAN][SHEE121212PHYSICIAN, SHEN121212SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:50:06 am|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-19 10:50:06 am|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-19 10:50:06 am|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-19 10:50:22 am|Action: getAppointmentSchedule | Parameters: USER:allservernull | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:50:22 am|Action: Appointment BookedMTLE140222 | Parameters: USER: mtlserverMTLA1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-19 10:50:47 am|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-19 10:50:47 am|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-19 10:50:47 am|Action: Appointment BookedQUEE121212 | Parameters: USER: QUEserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
